FrameNum CenterX(mm) CenterY(mm) Areas
663 86.16 86.96 Floor
664 86.61 84.86 Floor
665 87.18 82.75 Floor
666 87.66 80.38 Floor
667 87.99 77.80 Floor
668 88.19 75.10 Floor
669 88.26 72.13 Floor
670 88.33 68.91 Floor
671 88.51 65.53 Floor
672 88.96 61.96 Floor
673 89.73 58.55 Floor
674 90.75 55.42 Floor
675 91.98 52.76 Floor
676 93.29 50.48 Floor
677 94.53 48.76 Floor
678 95.61 47.58 Floor
679 96.54 46.71 Floor
680 97.36 46.03 Floor
681 98.13 45.55 Floor
682 99.05 45.12 Floor
683 100.10 44.80 Floor
684 101.50 44.53 Floor
685 103.24 44.31 Floor
686 105.12 43.99 Floor
687 106.96 43.54 Floor
688 108.83 42.91 Floor
689 110.90 42.00 Floor
690 113.12 40.92 Floor
691 115.55 39.75 Floor
692 118.24 38.66 Floor
693 121.15 37.84 Floor
694 124.37 37.37 Floor
695 127.89 37.48 Floor
696 131.11 37.96 Floor
697 134.21 38.75 Floor
698 137.25 39.82 Floor
699 140.38 41.04 Floor
700 143.52 42.20 Floor
701 146.71 43.31 Floor
702 150.06 44.42 Floor
703 153.54 45.56 Floor
704 157.17 46.83 Floor
705 NaN NaN Floor
706 NaN NaN Floor
707 NaN NaN Floor
708 NaN NaN Floor
709 NaN NaN Floor
710 NaN NaN Floor
711 182.35 58.71 Floor
712 185.29 59.89 OBJA1
713 187.79 60.83 OBJA1
714 189.74 61.54 OBJA1
715 191.14 62.01 OBJA1
716 191.37 61.97 OBJA1
717 191.57 62.07 OBJA1
718 191.62 62.24 OBJA1
719 191.68 62.50 OBJA1
720 191.83 62.74 OBJA1
721 191.99 62.85 OBJA1
722 192.31 63.02 OBJA1
723 192.80 63.27 OBJA1
724 193.36 63.48 OBJA1
725 194.14 63.71 OBJA1
726 195.07 63.98 OBJA1
727 196.14 64.36 OBJA1
728 197.42 64.88 OBJA1
729 198.41 65.27 OBJA1
730 199.23 65.73 OBJA1
731 199.96 66.37 OBJA1
732 200.34 66.86 OBJA1
733 200.60 67.38 OBJA1
734 200.87 67.91 OBJA1
735 201.25 68.52 OBJA1
736 201.63 69.12 OBJA1
737 202.19 69.84 OBJA1
738 202.95 70.57 OBJA1
739 203.56 71.01 OBJA1
740 204.28 71.40 OBJA1
741 205.01 71.63 OBJA1
742 205.54 71.54 OBJA1
743 206.15 71.47 OBJA1
744 206.69 71.36 OBJA1
745 207.07 71.25 OBJA1
746 207.24 71.16 OBJA1
747 207.37 71.24 OBJA1
748 207.53 71.38 OBJA1
749 207.65 71.54 OBJA1
750 207.78 71.69 OBJA1
751 207.92 71.82 OBJA1
752 207.98 71.84 OBJA1
753 208.09 71.84 OBJA1
754 208.19 71.83 OBJA1
755 208.26 71.75 OBJA1
756 208.30 71.62 OBJA1
757 208.39 71.54 OBJA1
758 208.47 71.48 OBJA1
759 208.48 71.46 OBJA1
760 208.61 71.54 OBJA1
761 208.85 71.65 OBJA1
762 209.08 71.79 OBJA1
763 209.39 71.96 OBJA1
764 209.67 72.10 OBJA1
765 209.83 72.09 OBJA1
766 209.82 71.95 OBJA1
767 209.57 71.59 OBJA1
768 209.02 71.08 OBJA1
769 208.29 70.54 OBJA1
770 207.46 70.08 OBJA1
771 206.57 69.72 OBJA1
772 205.71 69.65 OBJA1
773 204.91 69.74 OBJA1
774 204.17 69.99 OBJA1
775 203.56 70.42 OBJA1
776 203.11 70.91 OBJA1
777 202.80 71.31 OBJA1
778 202.65 71.64 OBJA1
779 202.62 71.88 OBJA1
780 202.65 72.06 OBJA1
781 202.79 72.19 OBJA1
782 203.02 72.39 OBJA1
783 203.24 72.65 OBJA1
784 203.39 72.98 OBJA1
785 203.56 73.49 OBJA1
786 203.70 74.10 OBJA1
787 203.82 74.65 OBJA1
788 203.91 75.18 OBJA1
789 203.96 75.66 OBJA1
790 204.01 76.10 OBJA1
791 204.09 76.51 OBJA1
792 204.20 76.83 OBJA1
793 204.31 77.17 OBJA1
794 204.38 77.42 OBJA1
795 204.51 77.69 OBJA1
796 204.69 77.85 OBJA1
797 204.92 77.87 OBJA1
798 205.23 77.90 OBJA1
799 205.67 77.93 OBJA1
800 206.16 77.99 OBJA1
801 206.71 78.10 OBJA1
802 207.24 78.22 OBJA1
803 207.77 78.46 OBJA1
804 208.25 78.76 OBJA1
805 208.64 79.11 OBJA1
806 209.04 79.47 OBJA1
807 209.39 79.82 OBJA1
808 209.70 80.10 OBJA1
809 209.97 80.28 OBJA1
810 210.23 80.39 OBJA1
811 210.37 80.39 OBJA1
812 210.44 80.29 OBJA1
813 210.53 80.16 OBJA1
814 210.54 80.02 OBJA1
815 210.55 79.94 OBJA1
816 210.61 79.87 OBJA1
817 210.69 79.83 OBJA1
818 210.79 79.81 OBJA1
819 210.87 79.81 OBJA1
820 210.96 79.82 OBJA1
821 211.07 79.75 OBJA1
822 211.25 79.62 OBJA1
823 211.41 79.49 OBJA1
824 211.58 79.38 OBJA1
825 211.78 79.30 OBJA1
826 211.97 79.23 OBJA1
827 212.15 79.23 OBJA1
828 212.17 79.19 OBJA1
829 212.11 79.19 OBJA1
830 212.08 79.20 OBJA1
831 212.12 79.14 OBJA1
832 212.29 79.15 OBJA1
833 212.57 79.23 OBJA1
834 212.95 79.30 OBJA1
835 213.41 79.39 OBJA1
836 213.91 79.50 OBJA1
837 214.32 79.55 OBJA1
838 214.54 79.55 OBJA1
839 214.64 79.63 OBJA1
840 214.67 79.75 OBJA1
841 214.39 79.71 OBJA1
842 213.96 79.61 OBJA1
843 213.44 79.39 OBJA1
844 212.91 79.09 OBJA1
845 212.33 78.76 OBJA1
846 211.74 78.33 OBJA1
847 211.20 77.93 OBJA1
848 210.74 77.67 OBJA1
849 210.33 77.54 Floor
850 210.06 77.51 Floor
851 209.75 77.40 Floor
852 209.55 77.26 Floor
853 209.72 77.19 Floor
854 210.20 77.13 Floor
855 210.93 77.07 Floor
856 211.94 76.97 Floor
857 213.23 76.98 Floor
858 214.66 77.13 Floor
859 216.35 77.44 Floor
860 218.28 77.93 Floor
861 220.28 78.55 Floor
862 222.35 79.31 Floor
863 224.65 80.29 Floor
864 226.95 81.26 Floor
865 229.29 82.30 Floor
866 231.72 83.34 Floor
867 233.73 84.15 Floor
868 235.50 84.82 Floor
869 237.07 85.26 Floor
870 238.54 85.72 Floor
871 239.71 86.06 Floor
872 240.63 86.30 Floor
873 241.55 86.60 Floor
874 242.56 87.05 Floor
875 243.71 87.58 Floor
876 245.03 88.12 Floor
877 246.28 88.59 Floor
878 247.74 89.18 Floor
879 249.15 89.81 Floor
880 250.47 90.76 Floor
881 251.45 91.81 Floor
882 252.07 93.05 Floor
883 252.38 94.55 Floor
884 252.41 96.26 Floor
885 252.15 98.00 Floor
886 251.79 99.64 Floor
887 251.53 101.16 Floor
888 251.34 102.47 Floor
889 251.24 103.62 Floor
890 251.18 104.64 OBJA1
891 251.27 105.51 OBJA1
892 251.51 106.19 OBJA1
893 251.78 106.70 OBJA1
894 252.04 107.07 OBJA1
895 252.27 107.35 OBJA1
896 252.50 107.50 OBJA1
897 252.63 107.59 OBJA1
898 252.72 107.59 OBJA1
899 252.79 107.67 OBJA1
900 252.86 107.70 OBJA1
901 252.93 107.73 OBJA1
902 253.02 107.70 OBJA1
903 253.06 107.61 OBJA1
904 253.10 107.55 OBJA1
905 253.08 107.47 OBJA1
906 253.09 107.39 OBJA1
907 253.09 107.35 OBJA1
908 253.21 107.22 OBJA1
909 253.38 107.04 OBJA1
910 253.63 106.83 OBJA1
911 253.80 106.66 OBJA1
912 253.92 106.53 OBJA1
913 253.99 106.47 OBJA1
914 253.98 106.50 OBJA1
915 253.86 106.59 OBJA1
916 253.78 106.67 OBJA1
917 253.71 106.77 OBJA1
918 253.64 106.82 OBJA1
919 253.59 106.80 OBJA1
920 253.57 106.76 OBJA1
921 253.60 106.55 OBJA1
922 253.74 106.27 OBJA1
923 253.94 105.93 OBJA1
924 254.14 105.49 OBJA1
925 254.35 104.98 OBJA1
926 254.63 104.37 OBJA1
927 254.95 103.71 OBJA1
928 255.21 103.18 OBJA1
929 255.47 102.67 OBJA1
930 255.65 102.18 OBJA1
931 255.83 101.69 OBJA1
932 255.87 101.18 OBJA1
933 255.74 100.66 OBJA1
934 255.37 100.14 OBJA1
935 254.78 99.65 OBJA1
936 254.10 99.20 OBJA1
937 253.45 98.76 OBJA1
938 252.86 98.48 OBJA1
939 252.39 98.23 OBJA1
940 252.08 98.05 OBJA1
941 251.93 97.92 OBJA1
942 251.97 97.77 OBJA1
943 252.03 97.62 OBJA1
944 252.05 97.54 OBJA1
945 252.15 97.52 OBJA1
946 252.41 97.61 OBJA1
947 252.77 97.70 OBJA1
948 253.19 97.85 OBJA1
949 253.61 97.99 OBJA1
950 254.02 98.13 OBJA1
951 254.20 98.30 OBJA1
