FrameNum CenterX(mm) CenterY(mm) Areas
615 218.45 69.43 OBJG
616 218.69 69.45 OBJG
617 218.95 69.53 OBJG
618 219.21 69.70 OBJG
619 219.62 69.86 OBJG
620 219.96 70.14 OBJG
621 220.33 70.46 OBJG
622 220.60 70.87 OBJG
623 220.77 71.23 OBJG
624 220.88 71.68 OBJG
625 220.98 71.89 OBJG
626 221.13 72.05 OBJG
627 221.38 72.19 OBJG
628 221.67 72.15 OBJG
629 222.15 72.05 OBJG
630 222.65 71.98 OBJG
631 223.25 71.95 OBJG
632 223.79 71.96 OBJG
633 224.25 71.95 OBJG
634 224.70 72.13 OBJG
635 225.13 72.24 OBJG
636 225.54 72.56 OBJG
637 225.94 72.87 OBJG
638 226.27 72.98 OBJG
639 226.57 73.11 OBJG
640 226.82 73.29 OBJG
641 227.04 73.55 OBJG
642 227.20 73.83 OBJG
643 227.26 74.03 OBJG
644 227.34 74.34 OBJG
645 227.38 74.72 OBJG
646 227.45 75.14 OBJG
647 227.56 75.47 OBJG
648 227.66 75.71 OBJG
649 227.73 75.91 OBJG
650 227.83 76.22 OBJG
651 227.94 76.50 OBJG
652 228.04 76.65 OBJG
653 228.09 76.67 OBJG
654 228.16 76.58 OBJG
655 228.21 76.59 OBJG
656 228.23 76.55 OBJG
657 228.23 76.43 OBJG
658 228.22 76.28 OBJG
659 228.19 76.13 OBJG
660 228.19 76.02 OBJG
661 228.17 75.91 OBJG
662 228.20 75.67 OBJG
663 228.27 75.49 OBJG
664 228.34 75.18 OBJG
665 228.34 75.06 OBJG
666 228.25 74.82 OBJG
667 228.12 74.51 OBJG
668 227.91 74.31 OBJG
669 227.68 74.28 OBJG
670 227.42 74.33 OBJG
671 227.13 74.55 OBJG
672 226.94 74.79 OBJG
673 226.77 75.07 OBJG
674 226.60 75.42 OBJG
675 226.38 75.89 OBJG
676 226.23 76.26 OBJG
677 226.06 76.57 OBJG
678 225.91 76.93 OBJG
679 225.78 77.28 Floor
680 225.67 77.55 Floor
681 225.53 77.82 Floor
682 225.42 78.08 Floor
683 225.29 78.27 Floor
684 225.16 78.53 Floor
685 225.08 78.79 Floor
686 225.01 78.99 Floor
687 224.96 79.13 Floor
688 224.90 79.24 Floor
689 224.81 79.31 Floor
690 224.74 79.36 Floor
691 224.63 79.45 Floor
692 224.53 79.61 Floor
693 224.42 79.73 Floor
694 224.38 79.87 Floor
695 224.40 79.96 Floor
696 224.44 79.98 Floor
697 224.52 79.93 Floor
698 224.57 79.90 Floor
699 224.63 79.78 Floor
700 224.67 79.60 Floor
701 224.70 79.47 Floor
702 224.73 79.41 Floor
703 224.70 79.35 Floor
704 224.67 79.29 Floor
705 224.63 79.21 Floor
