FrameNum CenterX(mm) CenterY(mm) Areas
522 89.03 64.95 Floor
523 88.76 67.40 Floor
524 88.85 70.02 Floor
525 89.19 72.67 Floor
526 89.58 75.34 Floor
527 89.91 78.03 Floor
528 90.06 80.92 Floor
529 89.83 84.05 Floor
530 89.14 87.22 Floor
531 88.15 90.40 Floor
532 87.03 93.93 Floor
533 85.82 97.54 Floor
534 84.66 101.21 Floor
535 83.71 104.94 Floor
536 83.09 108.77 Floor
537 82.89 112.78 Floor
538 83.11 116.71 Floor
539 83.54 120.66 Floor
540 NaN NaN Floor
541 84.40 128.53 Floor
542 84.53 132.29 Floor
543 84.36 135.97 Floor
544 83.92 139.66 Floor
545 83.42 143.20 Floor
546 83.02 146.56 Floor
547 82.93 149.93 Floor
548 83.19 153.02 Floor
549 83.80 156.05 Floor
550 84.65 158.87 Floor
551 85.45 161.32 Floor
552 86.08 163.33 Floor
553 86.49 165.01 Floor
554 86.59 166.45 Floor
555 86.38 167.44 Floor
556 85.95 168.14 Floor
557 85.40 168.64 Floor
558 84.73 169.06 Floor
559 84.09 169.50 Floor
560 83.62 169.94 Floor
561 83.31 170.31 Floor
562 83.16 170.60 Floor
563 83.20 170.74 Floor
564 83.39 170.93 Floor
565 83.62 171.10 Floor
566 83.81 171.33 Floor
567 83.90 171.55 Floor
568 83.81 171.97 Floor
569 83.58 172.47 Floor
570 83.33 173.06 Floor
571 83.04 173.56 Floor
572 82.69 173.96 Floor
573 82.29 174.22 Floor
574 81.88 174.49 Floor
575 81.45 174.72 Floor
576 80.94 175.09 Floor
577 80.42 175.63 Floor
578 79.85 176.42 Floor
579 79.31 177.43 Floor
580 78.77 178.60 Floor
581 78.26 179.74 Floor
582 77.68 180.88 Floor
583 77.02 182.04 Floor
584 76.27 183.14 Floor
585 75.60 184.18 Floor
586 75.05 185.27 Floor
587 74.77 186.25 Floor
588 74.70 187.19 Floor
589 74.91 187.96 Floor
590 75.32 188.35 Floor
591 75.93 188.34 Floor
592 76.59 188.07 Floor
593 77.23 187.65 Floor
594 77.85 187.14 Floor
595 78.48 186.72 Floor
596 79.17 186.30 Floor
597 79.94 185.75 Floor
598 80.67 185.11 Floor
599 81.35 184.15 Floor
600 81.98 182.80 Floor
601 82.75 181.21 Floor
602 83.71 179.58 Floor
603 84.87 178.05 Floor
604 86.30 176.99 Floor
605 87.91 176.51 Floor
606 89.83 176.54 Floor
607 91.95 177.00 Floor
608 94.17 177.83 Floor
609 96.52 178.89 Floor
610 98.90 180.11 Floor
611 101.47 181.34 Floor
612 104.31 182.60 Floor
613 107.35 183.68 Floor
614 110.62 184.55 Floor
615 NaN NaN Floor
616 117.73 185.43 Floor
617 121.75 185.49 Floor
618 NaN NaN Floor
619 130.89 185.35 Floor
620 NaN NaN Floor
621 NaN NaN Floor
622 NaN NaN Floor
623 NaN NaN Floor
624 NaN NaN Floor
625 NaN NaN Floor
626 NaN NaN Floor
627 NaN NaN Floor
628 NaN NaN Floor
629 NaN NaN Floor
630 NaN NaN Floor
631 NaN NaN Floor
632 NaN NaN Floor
633 189.52 187.36 Floor
634 NaN NaN Floor
635 211.81 187.98 Floor
636 219.76 187.89 Floor
637 223.67 187.50 Floor
638 222.15 186.80 Floor
639 224.22 186.16 Floor
640 226.05 185.54 Floor
641 227.69 185.04 Floor
642 229.11 184.76 Floor
643 230.21 184.73 Floor
644 231.09 184.89 Floor
645 231.75 185.10 Floor
646 232.36 185.40 Floor
647 232.92 185.79 Floor
648 233.70 186.18 Floor
649 234.64 186.51 Floor
650 235.61 186.83 Floor
651 236.72 187.07 Floor
652 237.79 187.26 Floor
653 238.68 187.32 Floor
654 239.34 187.27 Floor
655 239.79 187.12 Floor
656 240.16 186.97 Floor
657 240.44 186.83 Floor
658 240.72 186.66 Floor
659 240.94 186.60 Floor
660 241.26 186.61 Floor
661 241.74 186.67 Floor
662 242.19 186.74 Floor
663 242.51 186.80 Floor
664 242.67 186.85 Floor
665 242.68 186.89 Floor
666 242.49 186.92 Floor
667 242.08 186.90 Floor
668 241.51 186.89 Floor
669 240.90 186.91 Floor
670 240.26 186.95 Floor
671 239.60 187.03 Floor
672 238.91 187.08 Floor
673 238.31 187.10 Floor
674 237.78 187.12 Floor
675 237.44 187.11 Floor
676 237.32 187.06 Floor
677 237.37 186.97 Floor
678 237.67 186.84 Floor
679 238.21 186.62 Floor
680 238.88 186.33 Floor
681 239.61 185.98 Floor
682 240.56 185.46 Floor
683 241.70 184.80 Floor
684 242.80 184.11 Floor
685 243.96 183.39 Floor
686 245.19 182.66 Floor
687 246.29 182.07 Floor
688 247.18 181.56 Floor
689 247.79 181.19 Floor
690 247.99 181.05 Floor
691 247.89 181.12 Floor
692 247.77 181.25 Floor
693 247.57 181.48 Floor
694 247.36 181.78 Floor
695 247.28 182.07 Floor
696 247.36 182.30 Floor
697 247.65 182.46 Floor
698 248.14 182.49 Floor
699 248.70 182.33 Floor
700 249.16 182.07 Floor
701 249.60 181.64 Floor
702 250.16 181.00 Floor
703 250.78 180.33 Floor
704 251.50 179.86 Floor
705 252.36 179.54 Floor
706 253.47 179.34 Floor
707 254.71 179.20 Floor
708 256.05 179.07 Floor
709 257.44 178.84 Floor
710 258.64 178.57 Floor
711 259.68 178.17 Floor
712 260.59 177.76 Floor
713 261.35 177.41 Floor
714 262.13 177.26 Floor
715 262.97 177.14 Floor
716 264.00 176.96 Floor
717 265.03 176.71 Floor
718 266.11 176.35 Floor
719 267.26 175.87 Floor
720 268.39 175.32 Floor
721 269.42 174.77 Floor
722 270.30 174.33 Floor
723 271.00 173.93 Floor
724 271.51 173.70 Floor
725 271.77 173.55 Floor
726 271.80 173.50 Floor
727 271.51 173.57 Floor
728 270.84 173.74 Floor
729 270.06 174.00 Floor
730 269.24 174.35 Floor
731 268.39 174.74 Floor
732 267.59 175.11 Floor
733 266.79 175.50 Floor
734 266.09 175.82 Floor
735 265.59 175.99 Floor
736 265.09 176.05 Floor
737 264.51 175.98 Floor
738 263.86 175.76 Floor
739 263.24 175.44 Floor
740 262.64 174.88 Floor
741 262.05 174.09 Floor
742 261.35 173.14 Floor
743 260.51 172.20 Floor
744 259.63 171.27 Floor
745 258.85 170.31 Floor
746 258.09 169.17 Floor
747 257.41 167.93 Floor
748 256.96 166.46 Floor
749 256.88 164.72 Floor
750 257.23 162.47 Floor
751 257.94 159.90 Floor
752 258.92 156.95 Floor
753 260.04 153.77 Floor
754 261.13 150.41 Floor
755 262.13 146.92 Floor
756 262.79 143.32 Floor
757 263.05 139.70 Floor
758 263.01 136.07 Floor
759 262.71 132.45 Floor
760 262.26 128.87 Floor
