Frame X Y
721 212.51 93.80
722 212.51 93.92
723 212.58 93.92
724 212.72 93.92
725 213.03 93.58
726 213.77 93.58
727 214.47 93.58
728 215.06 94.15
729 217.65 94.15
730 219.07 94.15
731 220.54 93.82
732 222.08 93.82
733 222.50 93.82
734 223.18 93.97
735 224.24 94.20
736 225.09 94.76
737 226.20 95.04
738 226.84 95.68
739 227.10 95.68
740 227.12 95.68
741 227.12 95.76
742 227.12 95.79
743 227.01 96.12
744 226.98 96.42
745 226.77 96.49
746 226.77 96.49
747 226.77 96.67
748 227.03 97.07
749 227.19 97.63
750 227.48 98.48
751 227.50 98.79
752 227.97 98.89
753 228.70 99.90
754 229.00 99.90
755 229.16 99.90
756 229.37 98.31
757 229.37 98.18
758 229.37 98.16
759 229.37 98.16
760 229.37 98.16
761 229.60 98.32
762 229.85 98.52
763 230.10 98.57
764 230.10 98.62
765 230.10 98.62
766 229.77 98.62
767 229.33 98.44
768 228.36 98.01
769 225.94 96.70
770 222.40 95.78
771 221.48 95.78
772 220.00 96.35
773 216.76 96.35
774 214.65 96.68
775 212.45 97.51
776 210.78 97.86
777 210.71 98.20
778 210.71 99.43
779 210.71 99.60
780 211.66 100.38
781 212.32 101.07
782 212.34 101.19
783 212.45 101.38
784 212.45 101.88
785 212.67 101.88
786 213.41 101.88
787 213.41 101.88
788 213.41 101.98
789 213.24 102.09
790 213.01 102.10
791 213.01 102.49
792 213.01 102.68
793 212.95 103.19
794 213.27 104.21
795 213.42 104.54
796 213.46 104.54
797 213.46 104.54
798 213.56 104.31
799 215.14 104.31
800 218.86 104.31
801 219.65 104.60
802 221.56 105.13
803 222.66 106.03
804 222.69 106.74
805 222.73 107.00
806 223.09 107.40
807 223.85 108.11
808 224.62 108.29
809 224.78 108.30
810 224.78 108.41
811 224.67 108.69
812 224.67 108.69
813 224.66 108.69
814 224.62 108.37
815 224.61 108.31
816 224.23 108.19
817 224.22 108.12
818 224.21 108.12
819 224.19 108.12
820 224.21 108.12
821 224.19 108.17
822 223.90 108.17
823 223.77 108.08
824 223.77 106.52
825 223.77 106.52
826 223.62 106.52
827 223.81 106.76
828 223.85 107.01
829 223.85 107.01
830 224.33 107.03
831 224.34 107.03
832 225.20 106.98
833 225.55 105.47
834 225.78 102.55
835 226.80 102.36
836 227.10 102.36
837 228.07 102.55
838 229.45 102.07
839 229.49 102.07
840 229.75 102.07
841 232.13 101.16
842 232.13 101.15
843 232.13 101.15
844 231.57 100.67
845 230.66 100.59
846 230.06 100.55
847 229.98 100.14
848 229.98 99.93
849 230.06 99.46
850 231.98 96.05
851 232.59 94.08
852 233.84 89.58
853 234.05 88.82
854 234.33 88.47
855 235.20 88.25
856 236.23 87.42
857 239.87 86.26
858 242.42 86.16
859 244.98 85.99
860 250.97 85.92
861 253.71 85.99
862 254.17 85.99
863 259.13 87.67
864 262.38 89.30
865 265.24 90.17
866 266.91 90.21
867 270.08 91.09
868 273.32 91.11
869 273.32 92.67
870 273.32 94.40
871 272.97 99.70
872 271.83 103.46
873 270.71 106.35
874 269.32 107.14
875 266.49 107.70
876 264.89 108.48
877 263.97 110.20
878 260.96 113.97
879 259.85 116.42
880 259.40 117.79
881 258.03 118.82
882 254.73 120.91
883 251.73 122.63
884 248.99 124.09
885 246.49 125.59
